molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL1801859,CC(C)=CC(=O)N(Cc1ccc2nc(C)n(C)c(=O)c2c1)c1ccc(C(=O)NCc2cccnc2)cc1,10000.0,inactive
CHEMBL1801860,Cn1cnc2cc(Cl)c(C(=O)Nc3ccc(C(=O)NCc4cccnc4)cc3)cc2c1=O,12.0,active
CHEMBL1801861,Cn1cnc2cc(Cl)c(NCc3ccc(C(=O)NCc4cccnc4)cc3)cc2c1=O,3.8,active
CHEMBL1801862,C#CCN(Cc1cc2c(=O)n(C)c(CO)nc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,0.79,active
CHEMBL1801863,C#CCN(Cc1cc2c(=O)n(C)c(CN3CCN(CCCN)CC3)nc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,0.3,active
CHEMBL1801864,CC(C)=CCN(Cc1cc2c(=O)n(C)nnc2cc1Cl)c1ccc(C(=O)NCc2cccnc2)cc1,0.45,active
CHEMBL1801865,Cc1[nH]c2nc(N)[nH]c(=O)c2c1Sc1ccc(C(=O)NCc2cccnc2)cc1,2800.0,intermediate
CHEMBL1801866,Cc1c(Sc2ccc(C(=O)NCc3cccnc3)cc2)[nH]c2nc(N)nc(N)c12,1200.0,intermediate
CHEMBL1801867,Cc1c(Sc2ccc(C(=O)NCCc3cccnc3)cc2)[nH]c2nc(N)nc(N)c12,90.0,active
CHEMBL1801868,C#CCN(Cc1coc2nc(N)nc(N)c12)c1ccc(C(=O)NCc2cccnc2)cc1,10000.0,inactive
CHEMBL1801869,Nc1nc(N)c2c(CCc3ccc(C(=O)NCc4cccnc4)cc3)c[nH]c2n1,600.0,active
CHEMBL1801870,Cc1nc2c(c(=O)[nH]1)CN(C(=O)Nc1ccc(C(=O)NCc3cccnc3)cc1)CC2,29.0,active
CHEMBL1801871,Cc1nc2c(c(=O)[nH]1)CN(C(=O)c1ccc(C(=O)NCc3cccnc3)cc1)CC2,7200.0,intermediate
CHEMBL568305,O=C(CCCCCCCn1cc(-c2cccnc2)nn1)Nc1ccccc1-c1ccccc1,3.0,active
